title,location,org_name,org_link,description,job_posting_link
Software Engineer,"Telangana, India",Teradata,https://www.linkedin.com/company/teradata?trk=public_jobs_topcard-org-name,"Our company:At Teradata, we believe that people thrive when empowered with better information.  That’s why we built the most complete cloud analytics and data platform for AI.  By delivering harmonized data, trusted AI, and faster innovation, we uplift and empower our customers—and our customers’ customers—to make better, more confident decisions.  The world’s top companies across every major industry trust Teradata to improve business performance, enrich customer experiences, and fully integrate data across the enterprise. What you will do:Highly motivated Software Engineer with a solid background in software development.  The ideal candidate should be adept at multi-tasking across various development activities, including Research, coding and unit testing, code reviews, analysis, debugging, bug fixing, and system configuration. Key Responsibilities:Development of new features in the complex area of the Teradata Database. Understand the existing features and code which needs strong ‘C/C++’ skills and data structures. Candidate shall also be involved in fixing bugs in the Teradata Database code initially to gain an understanding of the different areas. Communicate effectively across teams to ensure alignment and clarity throughout the development process. Who you will work with:Our Database team will have a dedicated focus on enhancing our market-leading database by developing core database features with stronger cloud-native capabilities. On our team we collaborate with several cross-functional agile teams that include Architects, Product Owners, Software Engineers and other engineering groups to conceptualize, build, test and ship database features. You will report directly to the Manager of the database team. What makes you a qualified candidate:2+ years of relevant experience, preferably in R&D based teamsStrong C/C++ programming skillsDeep understanding of data structures coupled with ability to write algorithmsExcellent problem solving and strong debugging skillsExposure to RDBMS and ability to understand complex database featuresExperience with code versioning tools and defect tracking tools such as Git and Jira. Experience in working in UNIX / Linux environmentsA passion for innovation and continuous learning, with the ability to quickly adapt to new technologies. Strong oral and written communication skills, with the ability to produce technical documentsWhat you will bring:B Tech / M Tech / MCA in Computer Science with 2+ years of development experience in C/C++. Familiarity with AWS/Azure/GCP or any other public cloud environments. Knowledge of professional software engineering practices & best practices in software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations. Why We Think You’ll Love TeradataWe prioritize a people-first culture because we know our people are at the very heart of our success. We embrace a flexible work model because we trust our people to make decisions about how, when, and where they work. We focus on well-being because we care about our people and their ability to thrive both personally and professionally. We are an anti-racist company because our dedication to Diversity, Equity, and Inclusion is more than a statement. It is a deep commitment to doing the work to foster an equitable environment that celebrates people for all of who they are.Teradata invites all identities and backgrounds in the workplace. We work with deliberation and intent to ensure we are cultivating collaboration and inclusivity across our global organization. ​ We are proud to be an equal opportunity and affirmative action employer. We do not discriminate based upon race, color, ancestry, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related conditions), national origin, sexual orientation, age, citizenship, marital status, disability, medical condition, genetic information, gender identity or expression, military and veteran status, or any other legally protected status.                            Show more                                        Show less",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4321867546
Junior Python Software Engineer,"Lisbon, Lisbon, Portugal",much. Consulting,https://de.linkedin.com/company/much-consulting?trk=public_jobs_topcard-org-name,"Become part of our much. Consulting team in Lisbon and ensure that our projects run smoothly. We are much. Consulting, a global network of driven experts that works every day, hand-in-hand to ensure our vision: “No more boring tasks”Our team is very international (27 nationalities, 23 languages spoken) with a highly value-driven workstyle to always achieve the best results.If this sounds like your dream company, we are currently looking for a dedicated full-time engineer to support our Team in ERP development.TasksEvolve and maintain custom and open source used modules in our ERP system OdooAssist our consultants in analysing customer needs to design and build the best fit IT solutionsDevelopment, maintenance, technical fixing & management of our systemsParticipate in code reviewsContribute to testing and deployment by writing unit tests, performing QA checks and supporting release managementRequirementsBachelor in computer engineering or similarGood programming skills in Python, HTML, CSS and XMLAt least one year of experience in software engineeringAdaptative, quick working method & high commitmentIndependent working styleEnglish speaking team playerInterest in business topics and understanding of basic business processesBenefitsInnovative, cutting-edge projects: We develop leading Odoo solutions for various industries such as E-Commerce, Medtech, SaaS and more.Quick career growth: with our defined career levels you have the opportunity for a steep career developmentFlexible working hours and hybrid work: Organize your workday the way you like itCompetitive salary: you’ll receive a salary ranging between €25.000 and €35.000 / year TECPlenty of other benefits: Top private health insurance, Learning Budget, Team Events, Referral bonus, and many more!                    Show more                                        Show less",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4348372836
"Software Engineer, Frontend","Palo Alto, CA",Wealthfront,https://www.linkedin.com/company/wealthfront?trk=public_jobs_topcard-org-name,"*This role supports US-based remote work, or Palo Alto, CA based hybrid in-office.We’re looking for Software Engineers to join our team. As part of a cross-functional scrum team you will design and develop new products and features to help clients grow their wealth. In addition to building client facing features leveraging our in-house Design System components, you also work on improving our infrastructure and developer productivity and can have significant impact afforded by our cross-platform collaboration methods.As a core member of the Frontend team, you will:Collaborate with backend and mobile engineers, designers, and product managers to build new features and enhance existing featuresJoin other web engineers to triage and resolve operational issues, ensuring that mission-critical web systems and services operate smoothly across the web platformHelp with web platform infrastructure projects to improve the health and performance of our systems and increase product delivery velocityParticipate in recruiting activities such as interviewingProvide mentorship to other engineers on the teamThis role could be a fit if you have:2-5 years in a web-focused engineering roleA deep understanding of JavaScript, including standard ES5+, native DOM APIs, and ideally at least one modern front-end framework (React, Vue, Angular, etc)Experience with Ruby on Rails or similar server-side frameworks (such as Express or Django) is a plusExperience working with design to build custom pages and components, with a focus on page speed performance and writing custom CSS to create pages that are responsive across a variety of screen sizesReal passion for working on projects that have a measurable business impact and like working in a fast-paced cross-functional environmentExperience with test-driven development, continuous integration, and automated testingYou have either a BS or MS in computer science or related field.Once you join, Wealthfront will:Pair you with a mentor who will guide you through our structured onboarding programEncourage you to work on projects that match your professional goalsSupport your professional development by providing feedback during weekly 1:1s and our bi-annual reviewsProvide autonomy so you can be a happy and successful member of our teamEstimated annual salary range: $140,000 - $185,000 plus equity and a discretionary bonus. Benefits include medical, vision, dental, 401K plan, generous time off, parental leave, wellness reimbursements, professional development, employee investing discount, and more!About WealthfrontHere at Wealthfront, our mission is to create a financial system that favors people, not institutions. We do this by leveraging technology to build powerful, low-cost, and easy-to-use financial products that help modern investors grow and manage their money.We started with the ambition to transform the investment advisory business. By automating strategies typically reserved for the wealthy, we unlocked access to high quality investment advice for a digitally-native generation that was underserved by traditional institutions. Since then, we've expanded to a full suite of products designed to help our clients turn their savings into long-term wealth, including:• A Cash Account that, through our partner banks, offers one of the highest annual percentage yields on uninvested cash in the industry, while providing instant and secure access to your money with no account fees and a full suite of checking features.• A zero-commission Stock Investing Account with 50+ handpicked collections that help DIY investors discover new companies and make smarter investing decisions.• Multiple automated investing portfolios designed to unlock tax savings through sophisticated strategies like fixed income, tax-loss harvesting, and direct indexing—which we offer at industry-leading low costs and accessible minimums.Our award-winning products have attracted over 1 million clients who trust us with more than $90 billion of their hard earned savings—and we're far from done. If you’re inspired to help us reshape the financial industry as we create our next chapter, let’s talk!For more information please visit www.wealthfront.com.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Please review our candidate privacy notice. Disclosures: All investing involves risk, including the possible loss of principal. Tax-Loss Harvesting benefits vary depending on the client's entire tax and investment profile. Wealthfront doesn’t provide tax advice. The Cash Account is offered by Wealthfront Brokerage LLC (“Wealthfront Brokerage”), Member of FINRA/SIPC. Wealthfront Brokerage is not a bank. We convey funds to partner banks who accept and maintain deposits, provide the variable interest rate, and provide access to FDIC pass-through insurance. Investment management and advisory services–which are not FDIC insured–are provided by Wealthfront Advisers LLC (“Wealthfront Advisers”), an SEC-registered investment adviser. The checking features offered in the Wealthfront Cash Account are provided by Green Dot Bank, Member FDIC. Fees and Eligibility requirements may apply to certain checking features, please see the Deposit Account Agreement for details.By “award-winning products”, please refer to www.wealthfront.com/reviews for more information. Wealthfront Corporation oversees Total Client Assets and Trusted Clients through Wealthfront Advisers and Wealthfront Brokerage. Wealthfront Advisers and Wealthfront Brokerage are wholly owned subsidiaries of Wealthfront Corporation.                      Show more                                        Show less",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4321816786
.NET Developer,"Zagreb, Zagreb, Croatia",Recommend,https://www.linkedin.com/company/recommnd?trk=public_jobs_topcard-org-name,"Are you interested in joining us on the journey to build something new and excitng?Recommend is in the next step on our mission to make commerce better for everyone.Calling all seasoned Backend Developers!If you bring 3 or more years of expertise in using C# within the .NET framework and have a track record of hands-on experience in integrating complex services, we want to hear from you.TasksHere is what we are looking for to be familiar with:  Working with services such as the Stripe payment gateway, Paypal, secure chat functionalities, Firebase, Redis cache service, and various social network APIs. Strong database administration skills, especially with MySQL, along with knowledge of Azure basics, Github actions, and Docker, are essential for ensuring the success of our projects.Requirements3 or more years of hands-on experience in .NET technologies, specializing in C# for robust backend development.Experience in integrating complex services like Stripe, Paypal, secure chat functionalities, Firebase, Redis, and diverse social network APIs.Background in database administration, preferably with MySQL.Familiarity with Azure basics, Github actions, and Docker for efficient and scalable development.BenefitsGreat office environment with private office space for teams and easy-to-reach locationFlexible working hoursHoliday and Xmas bonusESOP bonus scheme                    Show more                                        Show less",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4347725885
Software Engineer (Backend),"Zagreb, Zagreb, Croatia",Zanders,https://nl.linkedin.com/company/zanders?trk=public_jobs_topcard-org-name,"Are you ready to take the next step in your career as a software engineer? We’re looking for a skilled engineer with an affinity for finance or financial risk who’s ready to make an impact. At Zanders, you’ll be part of a team that thrives on innovation, delivering software solutions that help transform the financial industry to clients across the globe. You’ll join a passionate, talented group working to build and enhance our cutting-edge cloud-based applications with the latest tech. Ideally, you have previous work experience building software for banks, other fintech companies or similar organization. If you’re eager to create, collaborate, and grow, Zanders could be the perfect place for you.Why Zanders?A tight-knit team: Work with a group of 10 driven software engineers who share your passion for technology. Collaborate with the wider Solutions team to bring domain expertise and business development insights into our software.Modern tech stack: You’ll work hands-on with Python/FastAPI, Typescript/React, and PostgreSQL.Empowered environment: We operate with a low-hierarchy, flexible approach, empowering you to take ownership of projects and contribute ideas.Invested in your growth: We prioritize your professional and personal development with resources for training, coaching, and career growth.Startup culture with stability: Enjoy a vibrant, startup-like atmosphere in a healthy, supportive environment.What You’ll Need To SucceedRelevant Education: Degree in Computer Science, Finance, Econometrics or a related field.Experience: 5+ years developing software applicationsExperience with developing RESTful applications, task queues and related technologies Demonstrable experience and affinity with and foundational knowledge of financial conceptsDesigning and working with scalable data models and PostgreSQLA basic understanding of DevOps technologies and platforms (Azure, Kubernetes, Terraform/OpenTofu and Helm) is preferredMindset: A collaborative, hands-on problem-solver who’s ready to bring ideas to life.Flexibility: Ability to frequently switch the application you’re working onLocation Flexibility: Hybrid role based in Zagreb.What We OfferHybrid work setup: Enjoy flexibility with a balanced in-office and remote working model.Home office support: Receive an allowance to set up your home office ergonomically, plus an internet allowance.Transportation support: A public transport card for easy commuting.Zanders Bonus Scheme: Be part of our success with an attractive bonus structure.Wellness and time off: Secure your future with a pension plan, 25 paid holidays, and a supportive work-life balance.Top-notch tools: We provide a high-performance laptop and iPhone.Engaging culture: Join an inclusive, collaborative team that celebrates diversity. Enjoy cultural events, an annual surprise trip to a European destination, and plenty of fun experiences!About ZandersZanders is a global financial consulting firm specializing in Treasury, Risk, and Technology. With headquarters in the Netherlands and a footprint across Europe, the UK, USA, and Asia, we’ve been at the forefront of innovation for 30 years. We push the boundaries of what’s possible, helping multinational corporations, financial institutions, and public sector entities tackle their biggest challenges. At Zanders, we believe in fostering a culture of inclusion, collaboration, and excellence.For the past six years, we have also been delivering specialized cloud solutions within our field of expertise, helping our clients operationally. The Solutions team has grown to 20+ FTE and operates as a SaaS organization. Our clients are based in various markets, ranging from large corporate clients to financial institutions. We have built and are servicing several applications on our own cloud platform. Our modern infrastructure currently consists of about 20 microservices, which are deployed to Microsoft Azure Kubernetes Services through Gitlab CI/CD pipelines and Helm.If you’re passionate about software development, have an affinity for finance or financial risk and are ready to join a team that values growth and impact, apply now and let’s build the future of Treasury, Risk, and Technology together!By applying for a role at Zanders, you give us approval to use and retain your personal details. Taking into account the nature of Zanders enterprise, you are expected to behave to a high moral standard. A Pre-Employment Screening (PES) by a third party is part of the application process.                    Show more                                        Show less",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4301130776
"Software Engineer II, Backend - Fares Platform","San Francisco, CA",Uber,https://www.linkedin.com/company/uber-com?trk=public_jobs_topcard-org-name,"About The RoleThe Fares Platform Team is at the heart of Uber's business, powering all global fares for our entire ecosystem, from rides and deliveries to new initiatives. Our systems are critical tier-1 components that handle tens of billions of dollars in gross bookings. We own the full stack, including platform fare calculation, data science models for upfront pricing, and the mobile fare experiences that our customers see.As a backend engineer, you'll join a fast-paced, solutions-oriented team to build powerful and robust features for our critical internal configuration platform. You'll make a tangible impact by working closely with a diverse group of stakeholders, including product managers, operations, data scientists, and engineers across the company.What You'll DoAs a member of the Fares Platform team, you will be instrumental in: Building and expanding our core backend systems to enable new features and support key product launches across Uber's global business.  Working with stakeholders across the company-from product managers to data scientists-to deeply understand business problems and develop effective technical solutions.  Owning the full development lifecycle, from design and implementation to deployment and monitoring, ensuring the reliability and performance of your systems.  Maintaining system health by participating in on-call rotations and proactively identifying and addressing potential issues. Basic Qualifications 2+ years of professional experience as a backend engineer, with hands-on experience in a language like Go, Java, or Python.  Experience designing and building large-scale, distributed systems, with a focus on system reliability, performance, and maintainability.  A solid understanding of computer science fundamentals, including data structures, algorithms, and systems design. Preferred Qualifications Proven track record of building scalable, highly available backend services within a microservices architecture.  A strong understanding of system design with experience working across multiple backend services to deliver a cohesive solution.  High standards for code quality and engineering excellence, including a focus on thorough testing, clear documentation, and maintainable code.  Experience in the payments or fintech space, particularly with systems that handle financial transactions and data. For San Francisco, CA-based roles: The base salary range for this role is USD$167,000 per year - USD$185,500 per year. For Sunnyvale, CA-based roles: The base salary range for this role is USD$167,000 per year - USD$185,500 per year. For all US locations, you will be eligible to participate in Uber's bonus program, and may be offered an equity award & other types of comp. You will also be eligible for various benefits. More details can be found at the following link https://www.uber.com/careers/benefits., For San Francisco, CA-based roles: The base salary range for this role is USD$167,000 per year - USD$185,500 per year. For Sunnyvale, CA-based roles: The base salary range for this role is USD$167,000 per year - USD$185,500 per year. For all US locations, you will be eligible to participate in Uber's bonus program, and may be offered an equity award & other types of comp. You will also be eligible for various benefits. More details can be found at the following link https://www.uber.com/careers/benefits.                            Show more                                        Show less",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4341787445
"Manager, Software Engineering - Backend, ITC","Karnataka, India",Nike,https://www.linkedin.com/company/nike?trk=public_jobs_topcard-org-name,"Who You’ll Work WithYou will be a part of the larger Global Technology organization working on Nike’s internal Supply Chain and Planning Technology (SCPT) and reporting to the team’s Engineering Director. You will work day-to-day with a team of engineers, the team’s Product Manager and Principal Engineers in the organization on software projects to achieve Nike’s business objectives. You will also engage with other Global Technology functions and teams on organizational and technical goalsWho We Are Looking ForWe are looking for an experienced Engineering Manager who can help team members to develop and support them whenever necessary, set priorities and get results across boundaries, and will ensure an inclusive work environment and manage performance. You will support engineering team activities focused on designing, developing, onboarding and supporting customers to Nike’s SCPT platforms. You will evaluate research and development projects results to assure accomplishment of technical objectives.You’ll Have7 to 10 years of professional experience, with minimum 3+ years management experience of high performing software engineering teamsLeadership in a highly collaborative, multi-discipline development team environmentExperience working in a distributed/cloud-based environment (e.g. AWS, GCP, Azure etc.)Experience in designing and implementing highly scalable web applicationsExperience in micro service architecture, domain driven design, and RESTful Services using languages such as Java, Node, or ScalaExposure to NoSQL data stores like Cassandra, DynamoDB, or MongoDBExposure to relational data stores like MySQL and OracleExposure to monitoring and tracing tools like Splunk, SignalFx and New RelicExposure to continuous integration, unit testing, static analysis, and automated integration tests. Continuous delivery experience preferredExposure to Supply Chain domain areas like inventory management, order management, logistics management, warehouse managementExposure to implementing or integrating with enterprise scale packages like SAP S4, IBM Sterling, Manhattan WMSWorking knowledge of Scrum and agile principlesComfortable working in a fast-paced, results-oriented environmentComfortable working with globally distributed and diverse teamsComfortable attending meetings with partners across multiple global locationsComfortable supporting local activities in building and growing Nike Global Technology presence in IndiaExcellent verbal and written communication and collaboration skills to effectively communicate with both business and technical teamsBachelor’s degree in computer science, Information Systems, or other relevant subject area, or equivalent experience.What You’ll Work OnYou will be part of a leading a team of engineers building out solutions for our internal Supply Chain Planning Technology team members. We are investing in building modular, configurable and “API-First” capabilities which will be consumed by several downstream systems. You are expected to help coordinate with other teams and provide guidance and coaching for your team. You will be collaborating with stakeholders across the globe. Your primary job is to build a collaborative culture on the team and empower your team to solve problems quickly.                            Show more                                        Show less",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4334357152
Backend Engineer,"Zagreb, Zagreb, Croatia",Margins,https://hr.linkedin.com/company/valeremargins?trk=public_jobs_topcard-org-name,"About YouAre you a skilled backend enthusiast ready to make your mark in the dynamic world of software development? Are you searching for the perfect environment to push your capabilities to new heights? Look no further!Welcome to the destination of choice for 2025, where your potential has room to grow and exciting opportunities await. Join us and be a key contributor to our exciting growth story!What Are We Looking ForMinimum 2 years of work experience in backend developmentStrong programming skills in JavaScript and/or TypeScriptPrevious experience in Node.js, minimum 6 months(Nice to Have) NestJS experienceExcellent knowledge of SQL and NoSQL databases (PostgreSQL, MongoDB, Redis)Experience with server administration and integrations with other systemsFamiliarity with the entire web stack, including protocols and web server optimization techniquesExperience with cloud providers (AWS, Azure, Google Cloud)Very good understanding of OOP and design patternsFamiliarity with designing and developing REST and/or GraphQL APIs(Nice to Have) Experience with building and deploying applications that integrate LLMs and LangChainStrong analytical mindset and problem-solving skillsExcellent collaboration and communication abilitiesDetail-oriented and quality-focusedExcellent written and spoken EnglishEligibility to work in CroatiaWhat Will You DoWrite clean, well-documented, and efficient code Work on interesting mid-sized projects across different industriesUtilize AWS to deploy and run our backend and database services (we mainly use S3, EC2 instances for running the Node.js app, and RDS for databases)Use Socket.io - it is our go-to choice when there is a need for real-time and/or two-way communication between the client and the server, outside of RESTDevelop new features and/or improve existing software featuresContribute to team and organizational improvements in processes and infrastructureCode, test and operate Node.js-based servicesWhat Can You ExpectFreedom and opportunity to build things from scratch instead of plugging into legacy systemsCompetitive salary, depending on experience and value you bring to the teamFlexible working hours and a hybrid or remote work policyPet-friendly officeExtra vacation days after the first year of employmentPaid transportation and meal allowance100% covered MultiSport cardOur valuesHonesty - Honesty is a great source of power and an engine of simplicity. We value it above anything else.Clients second - We have a mindset of putting our employees first and clients second. We take the best care of our employees, and only then can they take the best care of our clients.Doing the right thing - Integrity is the foundation of our team. We commit to doing the right thing — even when no one is watching.Owning our mistakes - We grow by owning our mistakes and learning from them. We reflect, analyze, and share our mistakes, using the opportunity to improve on a personal and organizational level.Like what you see? Don’t be shy, apply!Please NoteUnfortunately, we are unable to provide visa sponsorship for this position. Only candidates who are already authorized to work in Croatia will be considered at this time.                    Show more                                        Show less",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4262326230
Senior Researcher,"Riyadh, Saudi Arabia",Confidential Government,https://sa.linkedin.com/company/confidentialgovernment?trk=public_jobs_topcard-org-name,"We are seeking a candidate with experience as Bioinformatics Analyst, Bioinformatics scientist, Computational Biologist, Genomics Data Analyst, NSG data analyst, Biomedical Data Scientist, Clinical Bioinformatician, Bioinformatics Software Engineer, Genomic, Research Associate (Bioinformatics), Health Informatics Data Scientist.Key Experiences:Proficiency in Python and R for statistical analysis, scripting, and data wrangling.Bash/shell scripting for pipeline automation.Hands-on with workflow tools: Nextflow, Snakemake, or Galaxy for scalable analyses.Experience with workflow management tools like Nextflow, Snakemake, or Cromwell.Use of platforms like Galaxy, Bioconductor, or GenePattern.Familiarity with cloud computing (AWS, GCP) and HPC clusters.Knowledge of databases: Ensembl, UCSC Genome Browser, dbSNP, TCGA, GEO.Understanding of Good Clinical Practice (GCP) if handling clinical trial data.Proficiency with data visualization tools: ggplot2, Seaborn, Shiny, Plotly.Knowledge of machine learning or statistical modeling is a strong asset.Qualifications:PhD or MSc in Bioinformatics, Computational Biology, Genomics, Health Informatics, or related field.For MSc holders:Co-authorship (especially first-authorship) on peer-reviewed publications using large-scale genomics/bioinformatics analysesDevelopment or major contributions to open-source bioinformatics tools or data pipelines.Experience applying bioinformatics in a clinical context (clinical genomics, molecular diagnostics, public health projects).Leading or coordinating multi-disciplinary or multi-institutional digital health studies.Integration and analysis of multi-omics and clinical/phenotype datasets.For PhD holders:First-author or co-author on peer-reviewed publications involving large-scale bioinformatics analyses.Developed or contributed to a publicly available bioinformatics pipeline or software tool.Led or played a pivotal role in biomarker discovery, disease subtyping, or target identification.Participated in multi-institutional or consortium-based research (e.g., TCGA, GTEx, ENCODE).Experience working in a clinical bioinformatics setting or supporting regulatory submissions.                    Show more                                        Show less",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4341791215
Junior Frontend Developer (React),"Barcelona, Catalonia, Spain",Frekuent,https://es.linkedin.com/company/frekuent?trk=public_jobs_topcard-org-name,"Junior Frontend Developer (React)Location: Barcelona | Type: Full-timeWe're hiring—and we're doing it the Frekuent way. In a world where technology moves fast, we move with purpose. If you're ready to make your next big move and create something meaningful, you're in the right place.Being part of our dream team isn't just about a job, it's about enjoying the frekuency. If you're ready to be part of this journey and grow together, join us and make a real impact.Get to know usFrekuent is a fast-growing company redefining the payment experience, helping businesses turn one-time buyers into lifetime clients through unique loyalty boosters. We believe that the secret to more sales is giving customers less: cashless, contactless and effortless payment solutions that transform the way businesses operate. With Frekuent, transactions happen in seconds, keeping customers coming back for seconds.Want to know more? Check us out at www.frekuent.com.What you'll doAt Frekuent, we’re not just building payment solutions — we’re creating seamless experiences that move businesses and customers forward.As our Frontend Developer, you’ll focus primarily on building and improving the product experience in Frekuent Space. You’ll work with React and TypeScript to create clear, reliable, and user-friendly interfaces, collaborating closely with product, design, and backend. Your main role is frontend. If you’re interested in expanding your skills, there will be opportunities to learn backend development with Python over time (optional).What you'll be doing:Develop, maintain, and improve Frekuent Space, our core web platform where clients manage their connected vending machines, performance data, promotions, and support workflows.Build reusable components and ensure a consistent UI using React, TypeScript, and TailwindCSS.Integrate REST APIs and work closely with backend engineers when needed.Collaborate with product, design, and QA to plan and deliver new features.Troubleshoot issues and test your own work to ensure high reliability.Who we’re looking for1+ year of experience with React and TypeScript.Solid understanding of HTML, CSS, and TailwindCSS.Familiarity with REST APIs and integration best practices.Strong execution and problem-solving skills — you’re not afraid to tackle challenges head-on.Takes accountability and consistently owns the outcome throughout the process.Embraces feedback as an opportunity for growth.Naturally proactive, always looking for ways to move projects forward.Comfortable speaking up and proposing bold, creative ideas that add value.While it’s not required, it’s an added plus if you also have:Exposure to Python, Django ORM and FastAPI.Experience with tools like JIRA, Bitbucket, and Git workflows.Basic understanding of SQL and database concepts.What’s in it for youA hybrid model that works – Enjoy the energy of our office 3 days a week and the flexibility of working remotely the other 2.⏰ Flexible schedule – because we trust you to own your time and your outcomes.Meal vouchers – Enjoy a monthly support of meal vouchers to make your workdays tastier.Health & wellness – private health insurance and discounted gym memberships to keep both body and mind in top shape.Learning & development – English classes and role-specific training, because your growth is part of our journey.23 days of paid time off – plus local holidays, because great ideas need space to rest.A dynamic, fast-growing environment – where each day is unique and every idea counts.A collaborative mindset – surrounded by people who genuinely enjoy building together.Regular afterwork & teambuilding events – activities to relax, connect, and strengthen team bonds.Why you'll love it hereAt Frekuent, we believe our success is built on our people. We’re a team of non-conformists, committed and solution-driven individuals, who know that infinity is the limit when it comes to innovation. With plenty of room for personal and professional development, we value creativity, ownership, and collaboration — all driven by a strong culture that fuels our growth.Be authentic isn’t just a value, it’s our belief that embracing who we are and appreciating diverse backgrounds, experiences and opinions is what truly enriches us.If you're ready to jump into an exciting environment and make a real difference, this is the place for you.By applying for this job, the candidate acknowledges and agrees that any personal data contained in their application or supporting materials will be processed in accordance with Frekuent's Privacy Policy.                    Show more                                        Show less",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4348352642
